Package Name,Destination,Duration,Price,Package Description
Relaxing Bhutan Package 1,Bhutan,13,102472,"Experience a relaxing 13-day trip to Bhutan. This package includes festival dances, monastery treks and dzong visits."
Premium Italy Package 2,Italy,9,182754,"Experience a premium 9-day trip to Italy. This package includes fashion district shopping, pasta making classes and colosseum tours."
Cultural Shimla Package 3,Shimla,13,48801,"Experience a cultural 13-day trip to Shimla. This package includes colonial architecture tours, toy train rides and nature walks."
Relaxing Udaipur Package 4,Udaipur,4,160522,"Experience a relaxing 4-day trip to Udaipur. This package includes heritage walks, vintage car rides and puppet shows."
Romantic Rishikesh Package 5,Rishikesh,5,196326,"Experience a romantic 5-day trip to Rishikesh. This package includes cliff jumping, bungee jumping and yoga retreats."
Relaxing Varanasi Package 6,Varanasi,12,37641,"Experience a relaxing 12-day trip to Varanasi. This package includes street food walks, ganga aarti and boat rides."
Relaxing Turkey Package 7,Turkey,9,334377,"Experience a relaxing 9-day trip to Turkey. This package includes carpet weaving workshops, turkish bath and bazaar shopping."
Scenic Andaman Package 8,Andaman,13,163318,"Experience a scenic 13-day trip to Andaman. This package includes glass bottom boat rides, beach camping and island hopping."
Relaxing Varanasi Package 9,Varanasi,10,39385,"Experience a relaxing 10-day trip to Varanasi. This package includes street food walks, yoga sessions and silk weaving tours."
Cultural Shimla Package 10,Shimla,5,183443,"Experience a cultural 5-day trip to Shimla. This package includes nature walks, ice skating and apple orchard visits."
Budget Iceland Package 11,Iceland,5,324040,"Experience a budget 5-day trip to Iceland. This package includes volcano tours, whale watching and ice cave exploring."
Modern Hawaii Package 12,Hawaii,8,328703,"Experience a modern 8-day trip to Hawaii. This package includes helicopter tours, luau feasts and volcano tours."
Heritage Jaipur Package 13,Jaipur,3,48640,"Experience a heritage 3-day trip to Jaipur. This package includes palace visits, bazaar shopping and camel rides."
Relaxing Manali Package 14,Manali,12,135636,"Experience a relaxing 12-day trip to Manali. This package includes river rafting, hot springs and mountain trekking."
Luxury Rishikesh Package 15,Rishikesh,5,171481,"Experience a luxury 5-day trip to Rishikesh. This package includes meditation sessions, bungee jumping and camping by ganges."
Family-friendly Iceland Package 16,Iceland,14,306818,"Experience a family-friendly 14-day trip to Iceland. This package includes ice cave exploring, volcano tours and northern lights viewing."
Adventurous Udaipur Package 17,Udaipur,6,181141,"Experience a adventurous 6-day trip to Udaipur. This package includes lake palace tours, boat rides and rooftop dining."
Cultural Italy Package 18,Italy,8,112104,"Experience a cultural 8-day trip to Italy. This package includes colosseum tours, fashion district shopping and gondola rides."
Heritage France Package 19,France,5,171126,"Experience a heritage 5-day trip to France. This package includes lavender field tours, wine tasting and eiffel tower visits."
Premium Rishikesh Package 20,Rishikesh,10,18994,"Experience a premium 10-day trip to Rishikesh. This package includes camping by ganges, bungee jumping and cliff jumping."
Cultural Manali Package 21,Manali,13,65307,"Experience a cultural 13-day trip to Manali. This package includes river rafting, temple visits and skiing."
Relaxing Bhutan Package 22,Bhutan,10,222474,"Experience a relaxing 10-day trip to Bhutan. This package includes dzong visits, archery matches and festival dances."
Romantic Switzerland Package 23,Switzerland,7,421807,"Experience a romantic 7-day trip to Switzerland. This package includes paragliding, scenic train rides and mountain hiking."
Budget Australia Package 24,Australia,9,166992,"Experience a budget 9-day trip to Australia. This package includes outback adventures, opera house tours and great barrier reef diving."
Romantic Brazil Package 25,Brazil,5,352033,"Experience a romantic 5-day trip to Brazil. This package includes samba dancing, copacabana beach and rainforest treks."
Backpacker Ladakh Package 26,Ladakh,10,105989,"Experience a backpacker 10-day trip to Ladakh. This package includes high altitude trekking, camping under stars and mountain biking."
Family-friendly Brazil Package 27,Brazil,8,325343,"Experience a family-friendly 8-day trip to Brazil. This package includes carnival celebrations, samba dancing and rainforest treks."
Relaxing Bhutan Package 28,Bhutan,8,466368,"Experience a relaxing 8-day trip to Bhutan. This package includes monastery treks, mountain pass tours and himalayan viewing."
Romantic Italy Package 29,Italy,9,345807,"Experience a romantic 9-day trip to Italy. This package includes pasta making classes, gelato tasting and fashion district shopping."
Relaxing Italy Package 30,Italy,3,84811,"Experience a relaxing 3-day trip to Italy. This package includes gondola rides, fashion district shopping and gelato tasting."
Relaxing Bhutan Package 31,Bhutan,11,467682,"Experience a relaxing 11-day trip to Bhutan. This package includes festival dances, dzong visits and monastery treks."
Premium Turkey Package 32,Turkey,10,270678,"Experience a premium 10-day trip to Turkey. This package includes carpet weaving workshops, hot air balloon rides and blue voyage cruises."
Adventurous Manali Package 33,Manali,8,119610,"Experience a adventurous 8-day trip to Manali. This package includes temple visits, hot springs and mountain trekking."
Scenic Manali Package 34,Manali,5,184468,"Experience a scenic 5-day trip to Manali. This package includes temple visits, mountain trekking and hot springs."
